published_at,day_of_week,story_id,unique_viewers_diff,net_proceeds_video,avg_time_spent_per_user,unique_topsnaps_peruser,completion_rate,drop_off_rate,unique_completers_diff,unique_topsnap_views_diff,shares_diff,screenshots_diff,subscribers_diff,avg_shares,avg_screenshots,avg_subscribers,channels,day_name
2021-10-10 10:30:20,0,471869047279616,1765652,3055.3183515,53.06205942857143,7.477305528571429,0.1831226128571428,0.19883059,240641,12166548,13087,4570,10906,1869.5714285714284,652.8571428571428,1558.0,channel_6g,Sunday
2021-10-17 19:00:37,0,479566872420352,405814,2499.5879365,90.03897628571428,13.713136,0.3883815228571428,0.1500882,147697,5419685,6071,1440,4446,867.2857142857143,205.7142857142857,635.1428571428572,channel_6g,Sunday
2021-10-31 10:30:13,0,564231563390976,499076,3282.5913840000003,87.90720485714286,11.434062714285714,0.3350849099999999,0.18649139,153800,5406656,6774,1390,6447,967.7142857142858,198.57142857142856,921.0,channel_6g,Sunday
2022-01-09 11:30:09,0,1822085589616640,397509,1448.5729540000002,96.84675,12.958009714285714,0.4083337057142857,0.1963007,152167,5011260,5511,1782,3605,787.2857142857143,254.57142857142856,515.0,channel_6g,Sunday
2022-01-23 11:30:29,0,1822088062722048,1667910,10690.0049675,74.74656666666667,10.488903888888888,0.2679637,0.15664706,412156,16957899,10289,4173,21075,1143.2222222222224,463.6666666666667,2341.6666666666665,channel_6g,Sunday
2022-02-06 11:30:50,0,1822090565799936,393979,1973.5511740000002,53.57264228571428,7.698622971428571,0.1555222814285714,0.1816207,61594,3137108,1172,821,1426,167.42857142857142,117.28571428571428,203.7142857142857,channel_6g,Sunday
2022-02-27 11:30:39,0,1380090255159296,584767,2026.1398325,75.65909142857143,9.630869714285716,0.2747148014285714,0.21717095,128355,5127482,4203,1762,5097,600.4285714285714,251.7142857142857,728.1428571428572,channel_6g,Sunday
2021-12-21 20:00:38,2,923780913770496,2087905,27.765465400000004,77.46731875,10.536053,0.344810925,0.27797017,720108,21997392,486,1877,50669,60.75,234.625,6333.625000000001,channel_4r,Tuesday
2021-12-28 20:00:17,2,2371838596503552,3086927,16.380772,78.77914966666667,11.377043666666664,0.3751587533333333,0.22606109,1157910,35123598,540,2985,93534,90.0,497.5,15589.0,channel_4r,Tuesday
2022-02-01 20:06:22,2,1822090026037248,2272343,6777.9413856,97.97369,13.23253192857143,0.3540916457142857,0.1958578,815417,30289618,633,2816,60063,90.42857142857144,402.2857142857143,8580.42857142857,channel_4r,Tuesday
2022-03-08 15:00:38,2,347650937772032,1463605,3610.3651276,79.91813057142858,11.909069428571428,0.20958357,0.23370712,302963,17290866,3756,6063,44354,536.5714285714286,866.1428571428572,6336.285714285715,channel_4r,Tuesday
2021-10-03 19:00:53,0,1818769193955328,5380915,10761.8946339,86.34401,13.863202642857145,0.3068262414285714,0.16747986,1700686,75120448,2286,9457,57980,326.57142857142856,1351.0000000000002,8282.857142857143,channel_3s,Sunday
2021-10-06 19:00:21,3,487261987860480,4565143,12221.8541241,89.99151885714286,12.773648857142858,0.2851602228571429,0.19958355,1320441,58752214,2796,11357,40007,399.4285714285714,1622.4285714285716,5715.285714285715,channel_3s,Wednesday
2021-10-17 19:00:06,0,1121681657479168,6243056,20674.814524650003,93.03591428571428,13.2928605,0.3099771371428571,0.17101076,1947645,83701137,8987,16665,96688,1283.857142857143,2380.714285714286,13812.571428571431,channel_3s,Sunday
2021-10-27 19:00:23,3,944662411075584,5596268,14934.254233799998,82.15237542857142,10.649358857142856,0.3057517385714285,0.15959896,1743514,60247029,5819,13168,47314,831.2857142857143,1881.142857142857,6759.142857142858,channel_3s,Wednesday
2021-11-03 19:00:42,3,272862013349888,6749407,18350.20169865,87.00237714285716,11.378178285714286,0.3109792071428571,0.22649097,2065061,76223017,9675,12037,107449,1382.142857142857,1719.5714285714284,15349.85714285714,channel_3s,Wednesday
2021-12-01 20:00:37,3,2863316383170560,4793440,11566.874061150002,73.87689885714286,11.522293428571428,0.3338451671428571,0.21228155,1596280,54760326,1602,9104,42258,228.85714285714283,1300.571428571429,6036.857142857143,channel_3s,Wednesday
2021-12-15 20:00:03,3,1442749845086208,5348711,16178.93695575,80.14602557142857,11.999434428571428,0.2369481985714285,0.19986273,1291022,64025138,5398,14332,52421,771.1428571428571,2047.428571428572,7488.714285714286,channel_3s,Wednesday
2021-12-19 20:00:53,0,2371838047975424,8487573,35874.10939395,80.75823114285714,12.018756285714286,0.2593106985714286,0.2376249,2158613,100998272,21769,39535,125138,3109.8571428571427,5647.857142857143,17876.857142857145,channel_3s,Sunday
2021-12-22 20:00:22,3,778645911717888,8145382,17851.12838145,71.02957500000001,10.957218571428571,0.2961677399999999,0.2509519,2288632,87988608,41191,13314,61931,5884.428571428572,1902.0,8847.285714285714,channel_3s,Wednesday
2021-12-26 20:44:23,0,3063430218928128,4812313,9940.693978199997,78.31963085714285,10.30028557142857,0.2928981285714286,0.28240064,1326100,48523487,2612,10836,40256,373.1428571428572,1548.0,5750.857142857143,channel_3s,Sunday
2022-01-02 20:00:39,0,3209665408968704,3890164,5376.34738245,99.7703172857143,13.480004571428571,0.4371364885714285,0.21415067,1678273,52007854,834,8209,31020,119.14285714285715,1172.714285714286,4431.428571428572,channel_3s,Sunday
2022-01-09 20:00:52,0,1822085584529408,12033495,7606.3186239,71.1476007142857,10.088480714285712,0.3063298814285714,0.29471204,3228414,112713519,165945,24431,147154,23706.42857142857,3490.1428571428573,21022.000000000004,channel_3s,Sunday
2022-01-23 20:00:59,0,1822087922833408,7302588,11680.435783949999,85.59003,11.698527222222223,0.26486354,0.2927021,1871553,83862694,13820,32438,133714,1535.5555555555557,3604.222222222222,14857.111111111111,channel_3s,Sunday
2022-02-13 20:00:24,0,1380088110295040,3447571,6558.174559349999,74.78859228571429,11.389015785714284,0.2737806942857143,0.23006849,914302,38302966,4880,7386,49942,697.1428571428572,1055.142857142857,7134.571428571429,channel_3s,Sunday
2022-02-16 20:00:48,3,347647430852608,4357928,9994.4478762,87.003536,11.420158285714283,0.2372962,0.23494676,917752,46594704,1132,6845,18425,161.71428571428572,977.8571428571428,2632.1428571428573,channel_3s,Wednesday
