published_at,day_of_week,story_id,unique_viewers_diff,net_proceeds_video,avg_time_spent_per_user,unique_topsnaps_peruser,completion_rate,drop_off_rate,unique_completers_diff,unique_topsnap_views_diff,shares_diff,screenshots_diff,subscribers_diff,avg_shares,avg_screenshots,avg_subscribers,channels,day_name
2021-11-04 19:00:28,4,2608224718544896,258071,1595.0885995000003,86.54328728571429,15.255073714285714,0.1202625808571428,0.21211879,33727,4132619,397,1004,545,56.71428571428572,143.42857142857142,77.85714285714286,channel_1c,Thursday
2021-11-05 19:00:19,5,996340884760576,593505,3314.6873775,88.756665,16.442215,0.0798725321428571,0.23276746,50995,10229466,218,1443,1270,31.142857142857142,206.1428571428572,181.42857142857144,channel_1c,Friday
2021-11-07 20:00:10,0,1665943114840064,283532,1244.0373775,73.28405371428572,13.306720571428572,0.1845743442857143,0.22424343,52589,3746953,198,907,578,28.285714285714285,129.57142857142858,82.57142857142857,channel_1c,Sunday
2021-11-08 20:00:17,1,2505970530689024,597692,3608.483876,87.08217314285713,16.287138428571428,0.0654259198571428,0.20992476,39289,9819673,58,1021,529,8.285714285714285,145.85714285714286,75.57142857142858,channel_1c,Monday
2021-11-10 20:00:28,3,2830327335395328,154614,1559.3055150000002,64.30822057142856,10.372308785714283,0.2835108728571429,0.26499784,43832,1600761,11,314,117,1.5714285714285716,44.85714285714286,16.714285714285715,channel_1c,Wednesday
2021-11-12 20:00:57,5,2402616610670592,1120673,3654.3557125000007,94.432413,17.15527342857143,0.0997120514285714,0.22564892,113149,19361866,434,2518,4871,62.00000000000001,359.7142857142857,695.8571428571429,channel_1c,Friday
2021-11-14 20:00:38,0,2898497249220608,1037668,2678.0740155000008,49.39182871428572,9.054635714285714,0.1283364657142857,0.2517683,132808,9333073,68,1372,951,9.714285714285715,196.0,135.8571428571429,channel_1c,Sunday
2021-11-15 20:00:16,1,996340886069248,689092,3471.4871455,71.43230485714287,13.204991642857143,0.0732449742857142,0.24907872,51783,9235371,176,1480,832,25.142857142857142,211.42857142857144,118.85714285714288,channel_1c,Monday
2021-11-17 20:00:34,3,933671167649792,334667,1895.9857240000001,60.87787971428571,11.181891142857143,0.2662295771428571,0.22318257,94227,3884389,81,745,217,11.571428571428571,106.42857142857144,31.0,channel_1c,Wednesday
2021-11-19 20:00:54,5,564232998209536,584738,3708.8932535000004,72.37849399999999,13.091561,0.0786548041428571,0.29852715,50823,8125127,169,1504,402,24.142857142857142,214.8571428571429,57.42857142857142,channel_1c,Friday
2021-11-21 20:00:55,0,2510369991503872,725067,1962.04489,47.651345285714285,8.297072142857143,0.1511414557142857,0.25746906,111567,6130041,52,919,444,7.42857142857143,131.2857142857143,63.42857142857143,channel_1c,Sunday
2021-11-22 20:00:14,1,142020698839040,711005,11417.393611,80.76004842857144,15.899087857142858,0.1199179975714285,0.24071433,79671,10946041,1284,1603,1943,183.42857142857144,229.0,277.5714285714286,channel_1c,Monday
2021-11-24 20:00:21,3,2903997089177600,298771,1349.4383295,57.21240271428572,10.090444,0.20569953,0.2880555,62719,3067167,134,651,181,19.142857142857142,93.0,25.857142857142858,channel_1c,Wednesday
2021-11-26 20:00:43,5,2510370530181120,1120001,7696.579388499999,80.28132557142857,15.0595645,0.0622675368571428,0.1769714,74513,17553520,281,2492,1216,40.142857142857146,356.0,173.71428571428572,channel_1c,Friday
2021-11-28 20:00:51,0,2551054187913216,301219,968.4456085,53.551832,10.654875285714288,0.0958923315714285,0.27082518,30797,3343537,49,595,158,7.0,85.0,22.571428571428573,channel_1c,Sunday
2021-11-29 20:00:28,1,1798986497413120,1018683,10022.327171000003,71.82846585714286,13.580598,0.1449254914285714,0.30005142,150951,13942923,866,2380,1591,123.71428571428572,340.0,227.28571428571428,channel_1c,Monday
2021-12-01 20:00:01,3,2863316387930112,307260,1350.336622,65.47380885714286,11.880400142857145,0.2728159142857143,0.23474568,84708,3686184,232,673,253,33.142857142857146,96.14285714285714,36.142857142857146,channel_1c,Wednesday
2021-12-03 20:00:14,5,1350387696693248,863097,8169.106750000001,96.00487857142858,17.011408,0.1122178207142857,0.2357521,96186,14505868,334,1991,2418,47.71428571428572,284.42857142857144,345.42857142857144,channel_1c,Friday
2021-12-06 14:08:45,1,2037581231785984,705536,2773.2798824999995,46.92692314285715,8.700552428571429,0.1283756428571428,0.2239847,91250,6211108,35,633,600,5.000000000000001,90.42857142857144,85.71428571428572,channel_1c,Monday
2021-12-06 22:00:06,1,2863316370835456,1471714,12918.871178,101.57434142857142,16.868547000000003,0.0705015288571428,0.2289567,106280,25073683,367,2530,3004,52.42857142857143,361.4285714285714,429.1428571428572,channel_1c,Monday
