published_at,day_of_week,unique_viewers_diff,net_proceeds_video,avg_time_spent_per_user,unique_topsnaps_peruser,completion_rate,drop_off_rate,unique_completers_diff,unique_topsnap_views_diff,shares_diff,screenshots_diff,subscribers_diff,avg_shares,avg_screenshots,avg_subscribers,channels,day_name
2022-02-23 20:00:02,3,178423,1134.7976925000003,56.223002,11.201210428571429,0.3007316814285714,0.22197267,55051,2017834,161,209,155,23.000000000000004,29.85714285714286,22.142857142857142,channel_1c,Wednesday
2022-02-25 20:00:02,5,413258,2273.3286325000004,75.07738142857143,13.013387785714286,0.1245758214285714,0.24227355,53419,5483737,81,1361,611,11.571428571428571,194.42857142857144,87.28571428571429,channel_1c,Friday
2022-02-27 20:00:37,0,382847,1913.5135125,73.55201557142858,13.632722285714284,0.0709918418571428,0.27168936,28504,5344935,104,772,596,14.857142857142856,110.28571428571428,85.14285714285714,channel_1c,Sunday
2022-03-02 20:00:57,3,119349,417.497177,37.05546814285714,7.623208742857143,0.087700041,0.32192537,10784,927715,177,556,95,25.285714285714285,79.42857142857143,13.571428571428571,channel_1c,Wednesday
2022-03-04 20:00:14,5,590003,1793.0098095,44.18035242857143,8.425779957142858,0.1099026964285714,0.2640558,66604,5067233,52,781,765,7.42857142857143,111.57142857142858,109.2857142857143,channel_1c,Friday
2022-03-06 20:00:05,0,1180573,8607.859213,85.692407,13.587151357142858,0.074355692,0.2410636,92978,16576714,814,5520,8003,116.28571428571428,788.5714285714286,1143.2857142857142,channel_1c,Sunday
2022-03-08 20:02:10,2,233239,988.4168295000002,50.53297942857142,9.559798571428573,0.14177562,0.24776338,32093,2241975,33,454,307,4.714285714285714,64.85714285714288,43.85714285714286,channel_1c,Tuesday
2022-01-03 20:00:17,1,421678,700.32693375,62.63269357142857,16.490956714285712,0.2200091614285714,0.23799682,92911,7059008,423,5339,1853,60.42857142857143,762.7142857142857,264.71428571428567,channel_2d,Monday
2022-01-06 20:00:15,4,2134076,3915.2815700624997,86.63355942857143,18.55178214285714,0.27886083,0.12654525,585166,39334366,611,3393,22632,87.28571428571429,484.7142857142858,3233.1428571428573,channel_2d,Thursday
2022-01-10 20:00:29,1,331090,632.8931701875,66.95795328571428,15.782087428571428,0.2050200685714285,0.25668633,68530,5270052,627,2250,1278,89.57142857142857,321.42857142857144,182.57142857142856,channel_2d,Monday
2022-01-13 20:00:22,4,465822,929.3496511874998,82.52026014285715,17.531891999999996,0.2827849457142857,0.1915014,137320,8454136,294,911,4533,42.00000000000001,130.14285714285714,647.5714285714286,channel_2d,Thursday
2022-01-17 20:00:28,1,525954,1155.8652376875,70.99576714285713,17.069783,0.1992643242857142,0.21684591,114143,9393650,896,4066,8134,128.0,580.8571428571429,1162.0,channel_2d,Monday
2022-01-20 20:00:32,4,837032,2678.589396375,88.92650777777777,20.52096477777778,0.2320377411111111,0.2348898,191212,17019271,1832,14310,11717,203.5555555555556,1590.0,1301.888888888889,channel_2d,Thursday
2022-01-24 20:04:33,1,587638,894.3061273124998,71.48013800000001,14.161050055555558,0.17217511,0.21612036,107509,8456805,693,1379,2640,77.00000000000001,153.22222222222223,293.33333333333337,channel_2d,Monday
2022-01-27 20:06:15,4,2082101,4884.7764084375,63.18432785714287,15.456394071428573,0.1621657785714285,0.24299042,323047,31246640,2892,18772,22944,413.1428571428572,2681.7142857142853,3277.714285714286,channel_2d,Thursday
2022-01-31 20:00:02,1,229372,728.1178331249998,69.59292914285714,15.779108,0.18772065,0.19681473,45671,3739457,318,5269,1054,45.42857142857143,752.7142857142858,150.57142857142858,channel_2d,Monday
2022-02-03 20:00:57,4,520902,1456.1847275624998,72.54056971428571,14.575399,0.2167410971428571,0.13086459,113648,7739475,174,867,2331,24.857142857142858,123.85714285714288,332.99999999999994,channel_2d,Thursday
2022-02-07 20:00:10,1,213412,685.31422275,78.37910285714285,17.393697857142858,0.19746087,0.24752319,44138,3814535,83,2754,774,11.85714285714286,393.4285714285714,110.57142857142856,channel_2d,Monday
2022-02-10 20:00:19,4,753555,3066.7961623124997,82.55773928571428,18.831825428571427,0.2129837442857143,0.2262187,162043,14377011,1110,21153,9881,158.57142857142858,3021.857142857143,1411.5714285714284,channel_2d,Thursday
2022-02-14 20:00:45,1,436460,1241.7469085625,68.86959285714285,15.128639857142856,0.1431830728571428,0.28927565,64217,6675539,480,2687,2113,68.57142857142858,383.8571428571429,301.85714285714283,channel_2d,Monday
2022-02-17 20:00:08,4,878326,3079.7875460625,72.75636271428571,16.765432714285716,0.18976052,0.18017107,170180,14730082,800,12001,9551,114.28571428571428,1714.428571428571,1364.4285714285716,channel_2d,Thursday
2022-02-21 20:00:27,1,482350,1643.3781187499997,84.46413285714284,17.685251285714287,0.1390114114285714,0.255266,66811,8511320,199,1815,2584,28.42857142857143,259.2857142857143,369.1428571428572,channel_2d,Monday
2022-02-24 20:00:34,4,243791,838.5064948125003,89.38892442857143,17.63814457142857,0.2003899028571428,0.19582987,52100,4473090,203,2541,712,29.000000000000004,363.0,101.71428571428572,channel_2d,Thursday
2022-02-28 20:00:09,1,585866,1666.3118709375,66.62471342857143,17.079281571428574,0.1870230742857142,0.18692821,111265,10088670,423,6618,4600,60.42857142857142,945.4285714285712,657.1428571428571,channel_2d,Monday
2022-03-03 20:00:56,4,409363,1357.7491385624999,76.39754314285715,16.91092485714286,0.16571476,0.27698535,69096,6911300,496,3029,2449,70.85714285714286,432.7142857142858,349.8571428571429,channel_2d,Thursday
2022-03-07 11:15:55,1,1604989,5311.45234275,78.09466985714285,15.573671928571429,0.2086227314285714,0.2665172,329535,24644947,1566,44998,30413,223.7142857142857,6428.285714285715,4344.714285714286,channel_2d,Monday
2022-01-02 11:30:45,0,152100,526.908403,94.06471785714284,9.872820714285714,0.3931228957142857,0.19576162,60291,1519884,1571,471,669,224.42857142857144,67.28571428571429,95.57142857142856,channel_6g,Sunday
2022-01-09 11:30:09,0,397509,1448.5729540000002,96.84675,12.958009714285714,0.4083337057142857,0.1962249,152167,5011260,5511,1782,3605,787.2857142857143,254.57142857142856,515.0,channel_6g,Sunday
2022-01-16 11:30:30,0,235646,1303.0999080000001,98.98890771428572,12.257938857142856,0.38605,0.175764,91012,2886494,4467,1198,2371,638.1428571428571,171.14285714285717,338.7142857142857,channel_6g,Sunday
2022-01-23 11:30:29,0,1667910,10690.0049675,74.74656666666667,10.488903888888888,0.2679637,0.15711673,412156,16957899,10289,4173,21075,1143.2222222222224,463.6666666666667,2341.6666666666665,channel_6g,Sunday
2022-01-30 11:30:48,0,257097,1788.6284355,73.775532,9.696966071428571,0.2968814014285714,0.2813873,75325,2496197,3259,1450,2348,465.57142857142856,207.1428571428572,335.4285714285714,channel_6g,Sunday
2022-02-06 11:30:50,0,393979,1973.5511740000002,53.57264228571428,7.698622971428571,0.1555222814285714,0.18222949,61594,3137108,1172,821,1426,167.42857142857142,117.28571428571428,203.7142857142857,channel_6g,Sunday
2022-02-13 11:30:41,0,205833,1937.4626320000002,93.18398342857142,12.197267214285716,0.3297483028571428,0.18852615,68109,2530036,4164,722,1593,594.8571428571429,103.14285714285715,227.57142857142856,channel_6g,Sunday
2022-02-20 11:30:51,0,222106,1700.4727865,83.48217428571428,12.379625285714289,0.3212191185714286,0.20087136,70312,2746514,1483,1295,1270,211.85714285714283,185.0,181.42857142857144,channel_6g,Sunday
2022-02-27 11:30:39,0,584767,2026.1398325,75.65909142857143,9.630869714285716,0.2747148014285714,0.21717095,128355,5127482,4203,1762,5097,600.4285714285714,251.7142857142857,728.1428571428572,channel_6g,Sunday
